API,number,className
getLockTime()J,13,Lorg/bitcoinj/core/Transaction
setFirstResult(I)V,7,Lorg/activiti/engine/impl/db/ListQueryParameterObject
getName()Ljava/lang/String;,4,Lorg/activiti/engine/impl/bpmn/parser/FieldDeclaration
unfinished()Lorg/activiti/engine/impl/HistoricActivityInstanceQueryImpl;,16,Lorg/activiti/engine/impl/HistoricActivityInstanceQueryImpl
setLastUpdateTime(Ljava/util/Date;)V,4,Lorg/activiti/engine/impl/persistence/entity/ModelEntity
toString()Ljava/lang/String;,1,Lorg/activiti/engine/impl/juel/AstMethod
startProcessInstanceByKeyAndTenantId(Ljava/lang/String;Ljava/lang/String;)Lorg/activiti/engine/runtime/ProcessInstance;,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
getVersion()Ljava/lang/Integer;,1,Lorg/activiti/engine/impl/persistence/entity/ModelEntity
setMaxPoolSize(I)V,1,Lorg/activiti/engine/impl/asyncexecutor/DefaultAsyncJobExecutor
add(Ljava/lang/Object;)Z,47,Ljava/util/HashSet
getType()Ljava/lang/String;,1,Lorg/activiti/engine/impl/persistence/entity/GroupEntity
reset()V,2,Ljavax/crypto/Mac
isUser()Z,1,Lorg/activiti/engine/impl/persistence/entity/IdentityLinkEntity
getMimeType()Ljava/lang/String;,1,Lorg/activiti/engine/impl/form/LongFormType
executeCommand(Lorg/activiti/engine/impl/interceptor/Command;)Ljava/lang/Object;,1,Lorg/activiti/engine/impl/ManagementServiceImpl
getBusinessKey()Ljava/lang/String;,1,Lorg/activiti/engine/impl/ProcessInstanceHistoryLogImpl
setWidth(I)V,1,Lorg/activiti/engine/impl/pvm/process/Lane
getProcessInstanceId()Ljava/lang/String;,1,Lorg/activiti/engine/impl/persistence/entity/HistoricIdentityLinkEntity
getVariableInstancesLocal(Ljava/lang/String;Ljava/lang/String;Z)Ljava/util/Map;,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
getHeader()Lorg/bitcoinj/core/Block;,11,Lorg/bitcoinj/core/StoredBlock
toString()Ljava/lang/String;,1,Lorg/bitcoinj/core/Sha256Hash
contains(Ljava/lang/Object;)Z,24,Ljava/util/HashSet
<clinit>()V,17,Ljava/text/DigitList
getExpressionString()Ljava/lang/String;,1,Lorg/activiti/engine/impl/juel/TreeValueExpression
setDescription(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/persistence/entity/HistoricProcessInstanceEntity
setContent(Lorg/activiti/engine/impl/persistence/entity/ByteArrayEntity;)V,2,Lorg/activiti/engine/impl/persistence/entity/AttachmentEntity
getParentTaskId()Ljava/lang/String;,2,Lorg/activiti/engine/impl/persistence/entity/TaskEntity
write(I)V,91,Ljava/io/ByteArrayOutputStream
setProblem(Ljava/lang/String;)V,1,Lorg/activiti/validation/ValidationError
getActivityId()Ljava/lang/String;,1,Lorg/activiti/validation/ValidationError
<clinit>()V,6,Ljava/math/MutableBigInteger
setCause(Ljava/lang/Object;)V,1,Lorg/activiti/engine/delegate/event/impl/ActivitiActivityCancelledEventImpl
setType(Ljava/lang/String;)V,52,Lorg/activiti/engine/impl/persistence/entity/EventLogEntryEntity
getElementName()Ljava/lang/String;,4,Lorg/activiti/bpmn/converter/UserTaskXMLConverter$CustomIdentityLinkParser
getName()Ljava/lang/String;,1,Lorg/activiti/engine/impl/pvm/process/LaneSet
setHeight(I)V,1,Lorg/activiti/engine/impl/pvm/process/Lane
shutdownThreadPool()V,7,Lorg/bitcoinj/net/discovery/TorDiscovery
getWriteMethod()Ljava/lang/reflect/Method;,8,Ljava/beans/PropertyDescriptor
run()Ljava/lang/Object;,3,Ljava/lang/Thread$1
getContext()J,6,Lorg/bitcoin/Secp256k1Context
activityTenantId(Ljava/lang/String;)Lorg/activiti/engine/impl/HistoricActivityInstanceQueryImpl;,2,Lorg/activiti/engine/impl/HistoricActivityInstanceQueryImpl
binarySearch(Ljava/util/List;Ljava/lang/Object;)I,3,Ljava/util/Collections
getInfoNode()Lcom/fasterxml/jackson/databind/node/ObjectNode;,1,Lorg/activiti/engine/impl/persistence/deploy/ProcessDefinitionInfoCacheObject
setFormKey(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/persistence/entity/HistoricTaskInstanceEntity
getVariableInstanceLocal(Ljava/lang/String;Ljava/lang/String;)Lorg/activiti/engine/impl/persistence/entity/VariableInstance;,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
delete(II)Ljava/lang/StringBuilder;,2,Ljava/lang/StringBuilder
getQueryVariableValue()Lorg/activiti/engine/impl/QueryVariableValue;,1,Lorg/activiti/engine/impl/HistoricVariableInstanceQueryImpl
getName()Ljava/lang/String;,8,Lorg/activiti/engine/impl/Direction
getExecutionListenerIndex()Ljava/lang/Integer;,1,Lorg/activiti/engine/impl/pvm/runtime/ExecutionImpl
recursiveExtractHashes(IILorg/bitcoinj/core/PartialMerkleTree$ValuesUsed;Ljava/util/List;)Lorg/bitcoinj/core/Sha256Hash;,1,Lorg/bitcoinj/core/PartialMerkleTree
startProcessInstanceByKey(Ljava/lang/String;)Lorg/activiti/engine/runtime/ProcessInstance;,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
noCode()Lorg/bitcoinj/utils/MonetaryFormat;,58,Lorg/bitcoinj/utils/MonetaryFormat
getParticipantProcess()Lorg/activiti/engine/impl/pvm/process/ParticipantProcess;,1,Lorg/activiti/engine/impl/pvm/process/ProcessDefinitionImpl
setExclusive(Z)V,1,Lorg/activiti/engine/impl/jobexecutor/TimerDeclarationImpl
setErrorCode(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/bpmn/helper/ErrorThrowingEventListener
<clinit>()V,217,Ljava/util/HashMap$TreeNode
getPersistentState()Ljava/lang/Object;,9,Lorg/activiti/engine/impl/persistence/entity/PropertyEntity
getIdentityService()Lorg/activiti/engine/IdentityService;,1,Lorg/activiti/engine/impl/ProcessEngineImpl
pop()Ljava/lang/Object;,33,Ljava/util/Stack
now()Ljava/util/Date;,5,Lorg/bitcoinj/core/Utils
cacheGet(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,6,Lorg/activiti/engine/impl/db/DbSqlSession
setType(Ljava/lang/String;)V,3,Lorg/activiti/engine/impl/persistence/entity/IdentityInfoEntity
setCurrentCalendar(Ljava/util/Calendar;)V,3,Lorg/activiti/engine/impl/util/DefaultClockImpl
serializeToStream(Ljava/io/OutputStream;)V,1,Lorg/bitcoinj/core/UTXO
write([CII)V,3,Ljava/io/StringWriter
isAbleToStore(Ljava/lang/Object;)Z,1,Lorg/activiti/engine/impl/variable/NullType
getTaskEvents(Ljava/lang/String;)Ljava/util/List;,1,Lorg/activiti/engine/impl/TaskServiceImpl
getRevision()I,1,Lorg/activiti/engine/impl/persistence/entity/ModelEntity
get(Ljava/lang/Object;)Ljava/lang/Object;,344,Ljava/util/HashMap
getSymbol()Lorg/activiti/engine/impl/juel/Scanner$Symbol;,9,Lorg/activiti/engine/impl/juel/Scanner$Token
getClock()Lorg/activiti/engine/runtime/Clock;,1,Lorg/activiti/engine/impl/event/logger/EventLogger
put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,9,Ljava/util/Collections$SynchronizedMap
getVariableName()Ljava/lang/String;,1,Lorg/activiti/engine/delegate/event/impl/ActivitiVariableEventImpl
isAsync(Lorg/activiti/engine/impl/pvm/runtime/InterpretableExecution;)Z,5,Lorg/activiti/engine/impl/pvm/runtime/AbstractEventAtomicOperation
setCategory(Ljava/lang/String;)V,3,Lorg/activiti/engine/impl/persistence/entity/HistoricTaskInstanceEntity
setType(Lorg/activiti/engine/delegate/event/ActivitiEventType;)V,1,Lorg/activiti/engine/delegate/event/impl/ActivitiEventImpl
getSuppressed()[Ljava/lang/Throwable;,5,Ljava/lang/Throwable
getDeclaredMethod(Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;,2,Ljava/lang/Class
toString()Ljava/lang/String;,11,Ljava/lang/Character
superProcessInstanceId(Ljava/lang/String;)Lorg/activiti/engine/runtime/ProcessInstanceQuery;,3,Lorg/activiti/engine/impl/ProcessInstanceQueryImpl
start()Lorg/activiti/engine/runtime/ProcessInstance;,1,Lorg/activiti/engine/impl/runtime/ProcessInstanceBuilderImpl
<init>()V,9,Ljava/util/LinkedHashSet
getStructureInstance()Lorg/activiti/engine/impl/bpmn/data/StructureInstance;,1,Lorg/activiti/engine/impl/bpmn/data/ItemInstance
isValidDate(Ljava/util/Date;)Ljava/lang/Boolean;,2,Lorg/activiti/engine/impl/calendar/DurationHelper
<init>(Ljava/lang/String;)V,7,Ljava/util/Locale
parseLong(Ljava/lang/String;)J,2,Ljava/lang/Long
getSharedInstance()Lorg/activiti/engine/impl/el/NoExecutionVariableScope;,12,Lorg/activiti/engine/impl/el/NoExecutionVariableScope
getConfigurationResource()Ljava/lang/String;,1,Lorg/activiti/engine/test/ActivitiRule
setMailServerUseSSL(Z)V,1,Lorg/activiti/engine/cfg/MailServerInfo
setCachedValue(Ljava/lang/Object;)V,1,Lorg/activiti/engine/impl/persistence/entity/HistoricDetailVariableInstanceUpdateEntity
ensureVariablesInitialized()V,9,Lorg/activiti/engine/impl/pvm/runtime/ExecutionImpl
setProcessDefinitionId(Ljava/lang/String;)V,3,Lorg/activiti/engine/impl/persistence/entity/EventSubscriptionEntity
addComment(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lorg/activiti/engine/task/Comment;,1,Lorg/activiti/engine/impl/TaskServiceImpl
dispatchEvent(Lorg/activiti/engine/delegate/event/ActivitiEvent;Lorg/activiti/engine/delegate/event/ActivitiEventListener;)V,5,Lorg/activiti/engine/delegate/event/impl/ActivitiEventSupport
isInterrupting()Z,1,Lorg/activiti/engine/impl/bpmn/behavior/BoundaryEventActivityBehavior
